agent,sample_idx,wall_time,x,y
husky_local,0,1776891873.592449437,-273.691000,-103.717000
husky_local,1,1776891875.591394824,-273.748000,-103.716000
husky_local,2,1776891877.788221770,-273.872000,-103.693000
husky_local,3,1776891879.741642246,-274.458000,-103.346000
husky_local,4,1776891881.791292619,-275.294000,-102.602000
husky_local,5,1776891884.018054648,-275.989000,-101.836000
husky_local,6,1776891886.060348906,-276.641000,-101.079000
husky_local,7,1776891888.127977441,-277.313000,-100.291000
husky_local,8,1776891890.191477001,-278.055000,-99.412000
husky_local,9,1776891892.287681042,-278.751000,-98.587000
husky_local,10,1776891894.291306180,-278.897000,-98.400000
husky_local,11,1776891896.446361722,-279.146000,-98.236000
husky_local,12,1776891898.491173195,-280.038000,-97.507000
husky_local,13,1776891900.682741246,-280.708000,-96.835000
husky_local,14,1776891902.590911606,-280.950000,-96.584000
husky_local,15,1776891904.659275767,-280.988000,-96.406000
husky_local,16,1776891906.743996723,-281.201000,-95.495000
husky_local,17,1776891908.984760952,-281.661000,-94.683000
husky_local,18,1776891910.934746510,-281.885000,-94.554000
husky_local,19,1776891913.158316431,-282.739000,-93.943000
husky_local,20,1776891915.288258115,-283.570000,-93.075000
husky_local,21,1776891917.182682071,-284.182000,-92.326000
husky_local,22,1776891919.227491921,-284.915000,-91.416000
husky_local,23,1776891921.290705500,-285.680000,-90.465000
husky_local,24,1776891923.349020354,-286.171000,-89.855000
husky_local,25,1776891925.448455296,-286.692000,-89.208000
husky_local,26,1776891927.513323084,-287.370000,-88.367000
husky_local,27,1776891929.564805418,-287.973000,-87.617000
husky_local,28,1776891931.593935330,-288.718000,-86.690000
husky_local,29,1776891933.647245640,-289.304000,-85.916000
husky_local,30,1776891935.659243419,-289.776000,-85.287000
husky_local,31,1776891937.790104259,-290.445000,-84.398000
husky_local,32,1776891939.793742547,-291.111000,-83.522000
husky_local,33,1776891941.822501197,-291.665000,-82.792000
husky_local,34,1776891943.852762289,-292.253000,-82.002000
husky_local,35,1776891945.893035539,-292.951000,-81.085000
husky_local,36,1776891947.924481588,-293.334000,-80.563000
husky_local,37,1776891949.954832594,-293.381000,-80.521000
husky_local,38,1776891952.067798546,-293.751000,-80.291000
husky_local,39,1776891954.346979350,-293.785000,-80.269000
husky_local,40,1776891956.290163094,-294.823000,-79.452000
husky_local,41,1776891958.604521733,-295.648000,-78.632000
husky_local,42,1776891960.467813231,-295.854000,-78.514000
husky_local,43,1776891962.642938083,-296.440000,-78.077000
husky_local,44,1776891964.685246457,-296.925000,-77.554000
husky_local,45,1776891966.805804908,-297.672000,-76.531000
husky_local,46,1776891969.160546703,-298.270000,-75.648000
husky_local,47,1776891971.194278462,-298.948000,-74.645000
husky_local,48,1776891973.332606094,-299.492000,-73.844000
husky_local,49,1776891975.413157947,-300.055000,-73.016000
husky_local,50,1776891977.493232258,-300.617000,-72.189000
husky_local,51,1776891979.959669854,-301.194000,-71.339000
husky_local,52,1776891982.253358633,-301.769000,-70.494000
husky_local,53,1776891984.562741483,-302.360000,-69.623000
husky_local,54,1776891986.873835284,-303.043000,-68.603000
husky_local,55,1776891989.215440814,-303.680000,-67.639000
husky_local,56,1776891991.208176201,-304.613000,-66.226000
husky_local,57,1776891993.292913165,-304.716000,-66.053000
husky_local,58,1776891995.422235434,-304.786000,-66.000000
husky_local,59,1776891997.719695167,-305.119000,-65.741000
husky_local,60,1776891999.799322973,-305.952000,-64.879000
husky_local,61,1776892001.885083917,-306.004000,-64.797000
husky_local,62,1776892003.958131057,-306.503000,-64.610000
husky_local,63,1776892006.212798673,-306.363000,-64.909000
husky_local,64,1776892008.224264157,-306.413000,-64.816000
husky_local,65,1776892010.446654746,-306.234000,-64.480000
husky_local,66,1776892012.391687758,-306.104000,-64.329000
husky_local,67,1776892014.677470099,-306.065000,-64.264000
husky_local,68,1776892016.693355977,-306.267000,-63.266000
husky_local,69,1776892019.023371814,-306.221000,-63.395000
husky_local,70,1776892020.991908948,-306.184000,-63.499000
husky_local,71,1776892022.991699776,-306.221000,-63.452000
husky_local,72,1776892025.030440132,-306.958000,-62.456000
husky_local,73,1776892027.034177888,-307.460000,-61.633000
husky_local,74,1776892029.120599579,-307.994000,-60.745000
husky_local,75,1776892031.268301765,-308.508000,-59.891000
husky_local,76,1776892033.325014104,-308.974000,-59.115000
husky_local,77,1776892035.529188573,-309.485000,-58.255000
husky_local,78,1776892037.646008949,-310.092000,-57.219000
husky_local,79,1776892039.698960850,-310.494000,-56.527000
husky_local,80,1776892041.781791864,-311.100000,-55.456000
husky_local,81,1776892043.857536630,-311.628000,-54.456000
husky_local,82,1776892045.920513153,-311.922000,-53.901000
husky_local,83,1776892048.275721381,-312.395000,-53.005000
husky_local,84,1776892050.298231238,-313.107000,-51.648000
husky_local,85,1776892052.317930451,-313.524000,-50.773000
husky_local,86,1776892054.417629452,-313.933000,-49.902000
husky_local,87,1776892056.740618045,-314.415000,-48.873000
husky_local,88,1776892058.793690399,-314.691000,-48.271000
husky_local,89,1776892060.819658618,-314.858000,-47.934000
husky_local,90,1776892062.820133077,-315.122000,-47.206000
husky_local,91,1776892065.145243079,-315.167000,-46.064000
husky_local,92,1776892067.150303977,-315.179000,-45.366000
husky_local,93,1776892069.131930660,-315.180000,-45.235000
husky_local,94,1776892071.314773519,-315.201000,-45.133000
husky_local,95,1776892073.314768167,-315.265000,-45.049000
husky_local,96,1776892075.308210252,-315.397000,-45.035000
husky_local,97,1776892077.373392847,-315.477000,-44.985000
husky_local,98,1776892079.471778505,-315.516000,-44.956000
husky_local,99,1776892081.498045638,-315.623000,-44.891000
husky_local,100,1776892083.870218748,-315.692000,-44.857000
husky_local,101,1776892085.707238194,-315.857000,-44.826000
husky_local,102,1776892087.664319500,-315.816000,-44.739000
husky_local,103,1776892089.712287004,-315.678000,-44.665000
husky_local,104,1776892091.970457127,-315.621000,-44.578000
husky_local,105,1776892093.983357887,-315.564000,-44.446000
husky_local,106,1776892095.996329462,-315.510000,-44.350000
husky_local,107,1776892097.999017377,-315.506000,-44.254000
husky_local,108,1776892100.258785660,-315.601000,-44.199000
husky_local,109,1776892102.134950472,-315.729000,-44.186000
husky_local,110,1776892104.200141782,-315.819000,-44.175000
husky_local,111,1776892106.158863171,-315.935000,-44.152000
husky_2,0,1776891865.601394062,-269.691000,-100.717000
husky_2,1,1776891867.697756264,-269.691000,-100.717000
husky_2,2,1776891869.700617301,-269.691000,-100.717000
husky_2,3,1776891871.797723558,-269.691000,-100.717000
husky_2,4,1776891873.801233066,-269.722000,-100.717000
husky_2,5,1776891875.906697805,-270.215000,-100.701000
husky_2,6,1776891877.897921024,-270.990000,-100.408000
husky_2,7,1776891880.053077156,-271.824000,-99.844000
husky_2,8,1776891882.068901581,-272.589000,-99.159000
husky_2,9,1776891884.099165601,-273.313000,-98.434000
husky_2,10,1776891886.099870362,-274.053000,-97.688000
husky_2,11,1776891888.198915015,-274.800000,-96.932000
husky_2,12,1776891890.198702025,-275.493000,-96.224000
husky_2,13,1776891892.266029359,-276.073000,-95.627000
husky_2,14,1776891894.297658375,-276.150000,-95.552000
husky_2,15,1776891896.425296664,-276.229000,-95.487000
husky_2,16,1776891898.400057120,-276.319000,-95.440000
husky_2,17,1776891900.399151624,-276.413000,-95.512000
husky_2,18,1776891902.510616596,-276.532000,-95.682000
husky_2,19,1776891904.635256520,-276.573000,-95.732000
husky_2,20,1776891906.685443915,-276.678000,-95.837000
husky_2,21,1776891908.698351060,-276.839000,-95.964000
husky_2,22,1776891910.881127743,-276.895000,-95.998000
husky_2,23,1776891912.801495559,-276.989000,-96.055000
husky_2,24,1776891914.912604946,-277.122000,-96.116000
husky_2,25,1776891916.898567654,-277.156000,-96.136000
husky_2,26,1776891918.898977080,-277.366000,-96.235000
husky_2,27,1776891921.062014590,-277.387000,-96.274000
husky_2,28,1776891923.252027941,-277.396000,-96.285000
husky_2,29,1776891925.110591630,-277.418000,-96.207000
husky_2,30,1776891927.449618845,-277.467000,-96.021000
husky_2,31,1776891929.525893994,-277.792000,-95.082000
husky_2,32,1776891931.505871319,-278.220000,-94.212000
husky_2,33,1776891933.588186186,-278.714000,-93.354000
husky_2,34,1776891935.558562603,-279.198000,-92.527000
husky_2,35,1776891937.587618509,-279.729000,-91.617000
husky_2,36,1776891939.540168590,-280.234000,-90.761000
husky_2,37,1776891941.710846314,-280.730000,-89.922000
husky_2,38,1776891943.688044470,-281.237000,-89.067000
husky_2,39,1776891945.817670477,-281.750000,-88.205000
husky_2,40,1776891947.850485988,-282.292000,-87.303000
husky_2,41,1776891949.914356689,-282.800000,-86.459000
husky_2,42,1776891951.997263345,-283.333000,-85.577000
husky_2,43,1776891953.947370006,-283.885000,-84.670000
husky_2,44,1776891956.248373208,-284.452000,-83.742000
husky_2,45,1776891958.208082921,-285.007000,-82.841000
husky_2,46,1776891960.149719021,-285.527000,-82.000000
husky_2,47,1776891962.191274363,-286.045000,-81.166000
husky_2,48,1776891964.288300559,-286.574000,-80.322000
husky_2,49,1776891966.347065448,-286.809000,-79.943000
husky_2,50,1776891968.312857089,-286.869000,-79.819000
husky_2,51,1776891970.344325752,-287.064000,-79.733000
husky_2,52,1776891972.463466132,-287.715000,-79.485000
husky_2,53,1776891974.504287821,-288.496000,-78.957000
husky_2,54,1776891976.420153223,-288.961000,-78.550000
husky_2,55,1776891978.722322739,-288.968000,-78.559000
husky_2,56,1776891980.684828466,-289.013000,-78.456000
husky_2,57,1776891982.642770679,-289.058000,-78.423000
husky_2,58,1776891984.811757240,-289.051000,-78.467000
husky_2,59,1776891986.822079324,-289.034000,-78.435000
husky_2,60,1776891988.828516407,-288.828000,-78.149000
husky_2,61,1776891990.957257418,-288.891000,-78.445000
husky_2,62,1776891993.048136043,-288.891000,-78.450000
husky_2,63,1776891995.030723974,-288.828000,-78.119000
husky_2,64,1776891996.935899569,-288.708000,-78.344000
husky_2,65,1776891998.999286645,-288.682000,-78.485000
husky_2,66,1776892001.055529369,-288.682000,-78.485000
husky_2,67,1776892003.072643337,-288.780000,-78.355000
husky_2,68,1776892005.121177392,-289.072000,-78.061000
husky_2,69,1776892007.157985474,-289.236000,-78.022000
husky_2,70,1776892009.240051524,-289.802000,-77.944000
husky_2,71,1776892011.207771999,-290.603000,-77.621000
husky_2,72,1776892013.455508507,-291.431000,-77.028000
husky_2,73,1776892015.414231025,-291.715000,-76.712000
husky_2,74,1776892017.485583953,-291.836000,-76.124000
husky_2,75,1776892019.455928165,-292.199000,-75.199000
husky_2,76,1776892021.399219553,-292.670000,-74.246000
husky_2,77,1776892023.656802716,-293.147000,-73.299000
husky_2,78,1776892025.751425147,-293.646000,-72.458000
husky_2,79,1776892027.776340568,-294.168000,-71.604000
husky_2,80,1776892029.984361158,-294.712000,-70.715000
husky_2,81,1776892031.986774590,-295.247000,-69.853000
husky_2,82,1776892034.079426236,-295.787000,-68.983000
husky_2,83,1776892036.039227600,-296.328000,-68.117000
husky_2,84,1776892037.998779458,-296.859000,-67.276000
husky_2,85,1776892040.083760822,-297.391000,-66.440000
husky_2,86,1776892042.150994968,-297.923000,-65.612000
husky_2,87,1776892044.271943382,-298.481000,-64.750000
husky_2,88,1776892046.302534212,-299.022000,-63.920000
husky_2,89,1776892048.249331960,-299.619000,-63.014000
husky_2,90,1776892050.467095955,-300.161000,-62.209000
husky_2,91,1776892052.299267736,-300.636000,-61.640000
husky_2,92,1776892054.374799469,-300.847000,-61.407000
husky_2,93,1776892056.399287706,-300.778000,-61.594000
husky_2,94,1776892058.769485916,-300.785000,-61.559000
husky_2,95,1776892060.775206986,-301.123000,-61.030000
husky_2,96,1776892062.787732154,-301.486000,-60.308000
husky_2,97,1776892064.742508162,-301.774000,-59.588000
husky_2,98,1776892066.798486832,-301.926000,-59.367000
husky_2,99,1776892069.131418967,-302.631000,-58.638000
husky_2,100,1776892071.008990508,-303.350000,-57.894000
husky_2,101,1776892073.220738405,-304.044000,-57.177000
husky_2,102,1776892075.238897794,-304.772000,-56.430000
husky_2,103,1776892077.190178812,-305.481000,-55.702000
husky_2,104,1776892079.204186770,-306.254000,-54.908000
husky_2,105,1776892081.399620164,-306.954000,-54.189000
husky_2,106,1776892083.305684956,-307.695000,-53.428000
husky_2,107,1776892085.385067555,-308.410000,-52.694000
husky_2,108,1776892087.340891458,-309.168000,-51.915000
husky_2,109,1776892089.568887407,-309.926000,-51.137000
husky_2,110,1776892091.580782055,-310.646000,-50.397000
husky_2,111,1776892093.610346930,-311.412000,-49.611000
husky_2,112,1776892095.844220209,-312.164000,-48.839000
husky_2,113,1776892097.820073911,-312.586000,-48.399000
husky_2,114,1776892099.866331966,-312.670000,-48.309000
husky_2,115,1776892102.106723165,-313.280000,-48.022000
husky_2,116,1776892104.102144502,-313.967000,-47.507000
husky_2,117,1776892106.153298466,-314.025000,-47.431000
husky_2,118,1776892108.362540272,-314.143000,-47.357000
husky_2,119,1776892110.336233899,-314.278000,-47.367000
husky_2,120,1776892112.338506336,-314.468000,-47.416000
husky_2,121,1776892114.404800412,-314.662000,-47.527000
husky_2,122,1776892116.597442108,-314.943000,-47.611000
husky_2,123,1776892118.718210846,-315.103000,-47.585000
husky_2,124,1776892120.655033537,-315.278000,-47.553000
husky_2,125,1776892122.756829025,-315.540000,-47.540000
husky_2,126,1776892125.011399352,-315.960000,-47.376000
husky_2,127,1776892126.921595238,-315.991000,-47.362000
husky_2,128,1776892129.136792466,-316.000000,-47.289000
husky_2,129,1776892131.026797603,-315.990000,-47.220000
husky_2,130,1776892133.151153720,-315.751000,-47.028000
husky_2,131,1776892135.134637671,-315.442000,-46.544000
husky_2,132,1776892137.326636082,-315.315000,-46.057000
husky_2,133,1776892139.258141799,-315.308000,-46.058000
husky_2,134,1776892141.406885551,-315.150000,-45.908000
husky_2,135,1776892143.357050200,-314.948000,-45.556000
husky_2,136,1776892145.300307294,-314.886000,-45.525000
husky_2,137,1776892147.390354715,-314.855000,-45.801000
husky_2,138,1776892149.377220958,-314.854000,-45.804000
husky_2,139,1776892151.574819357,-314.833000,-45.793000
husky_2,140,1776892153.498862369,-314.660000,-45.532000
husky_2,141,1776892155.664747991,-314.623000,-45.475000
husky_2,142,1776892157.591225767,-314.627000,-45.755000
husky_2,143,1776892159.829326628,-314.634000,-45.872000
husky_2,144,1776892161.751348308,-314.623000,-45.865000
husky_2,145,1776892163.712060440,-314.633000,-45.821000
husky_2,146,1776892165.901777269,-314.621000,-45.789000
husky_2,147,1776892167.884529446,-314.605000,-45.707000
husky_2,148,1776892169.823632561,-314.300000,-45.566000
husky_2,149,1776892171.861625506,-314.306000,-45.569000
husky_2,150,1776892174.170949761,-314.370000,-45.613000
husky_2,151,1776892176.098479791,-314.514000,-45.750000
husky_2,152,1776892178.382382802,-314.554000,-45.834000
husky_2,153,1776892180.345160946,-314.602000,-45.890000
husky_2,154,1776892182.267790106,-314.652000,-45.913000
husky_2,155,1776892184.292154982,-314.636000,-46.200000
husky_2,156,1776892186.249378263,-314.652000,-46.293000
husky_2,157,1776892188.359489889,-314.766000,-45.760000
husky_2,158,1776892190.499580141,-314.681000,-45.930000
husky_2,159,1776892192.453281373,-314.610000,-46.088000
husky_2,160,1776892194.456807896,-314.610000,-46.088000
husky_2,161,1776892196.500772581,-314.701000,-45.887000
husky_2,162,1776892198.757280201,-314.959000,-45.338000
husky_2,163,1776892200.628846857,-314.762000,-45.667000
husky_2,164,1776892202.815309627,-314.745000,-45.697000
husky_2,165,1776892204.851229620,-314.848000,-45.520000
husky_2,166,1776892206.828530272,-314.847000,-45.500000
husky_2,167,1776892209.072641630,-314.707000,-45.724000
husky_2,168,1776892211.100485676,-314.707000,-45.724000
husky_2,169,1776892213.035371595,-314.712000,-45.715000
husky_2,170,1776892214.998894166,-315.019000,-45.311000
